benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,10,10,1,2,2,10,9.975083,0,9.975083,0.9975083,2.152959,2.2087909999999997,5.613333
direct-decrypt,10,10,2,2,2,10,7.726792,0,7.726792,0.7726792,1.68625,1.617667,4.4228749999999994
direct-decrypt,10,10,3,2,2,10,6.735583,0,6.735583,0.6735583,1.434292,1.4078330000000001,3.893458
direct-decrypt,10,10,4,2,2,10,6.182209,0,6.182209,0.6182209000000001,1.28725,1.332959,3.5620000000000003
direct-decrypt,10,10,5,2,2,10,5.786833,0,5.786833,0.5786833,1.191792,1.204125,3.390916
direct-decrypt,10,10,6,2,2,10,5.507751,0,5.507751,0.5507751,1.131375,1.155709,3.220667
direct-decrypt,10,10,7,2,2,10,5.308793,0,5.308793,0.5308792999999999,1.090709,1.11425,3.103834
direct-decrypt,10,10,8,2,2,10,5.259665999999999,0,5.259665999999999,0.5259666,1.075791,1.0973330000000001,3.0865419999999997
direct-decrypt,10,10,9,2,2,10,5.232291,0,5.232291,0.5232291,1.06575,1.091666,3.074875
direct-decrypt,10,10,10,2,2,10,5.669001,0,5.669001,0.5669001,1.146875,1.159084,3.363042
direct-decrypt,20,10,1,2,2,20,11.163167,0,11.163167,0.55815835,2.290459,2.337291,6.535417
direct-decrypt,20,10,2,2,2,20,10.762708,0,10.762708,0.5381354,2.150958,2.231625,6.3801250000000005
direct-decrypt,20,10,3,2,2,20,10.521,0,10.521,0.52605,2.147375,2.185,6.188625
direct-decrypt,20,10,4,2,2,20,10.471582999999999,0,10.471582999999999,0.52357915,2.144333,2.194209,6.1330409999999995
direct-decrypt,20,10,5,2,2,20,10.522541,0,10.522541,0.52612705,2.166875,2.222583,6.133083
direct-decrypt,20,10,6,2,2,20,10.484250000000001,0,10.484250000000001,0.5242125000000001,2.133375,2.182167,6.1687080000000005
