benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
link-decrypt,10,10,1,2,2,2,5.965583,4.9027080000000005,1.062875,0.5965583,1.881125,1.8795000000000002,2.1855830000000003
link-decrypt,10,10,2,2,2,2,5.98225,4.929667,1.052583,0.598225,1.82375,1.8835,2.2702500000000003
link-decrypt,10,10,3,2,2,2,5.8979159999999995,4.83725,1.060666,0.5897916,1.855292,1.838833,2.199125
link-decrypt,10,10,4,2,2,2,5.954916,4.876458,1.078458,0.5954916,1.879291,1.8389170000000001,2.232
link-decrypt,10,10,5,2,2,2,6.085749,5.026415999999999,1.059333,0.6085749,1.892874,1.926375,2.260917
link-decrypt,10,10,6,2,2,2,6.025667,4.96525,1.060417,0.6025667,1.8460830000000001,1.85775,2.3172919999999997
link-decrypt,10,10,7,2,2,2,6.015124999999999,4.946166,1.068959,0.6015124999999999,1.828833,1.896792,2.277542
link-decrypt,10,10,8,2,2,2,5.905333,4.8289159999999995,1.0764170000000002,0.5905332999999999,1.769375,1.856208,2.273125
link-decrypt,10,10,9,2,2,2,6.012291,4.949458,1.062833,0.6012291000000001,1.8508330000000002,1.90225,2.254708
link-decrypt,10,10,10,2,2,2,6.019625,4.97275,1.046875,0.6019625,1.873874,1.8962510000000001,2.245
link-decrypt,10,50,1,2,5,5,7.584459,4.959417,2.625042,0.7584459,2.1909590000000003,2.209416,3.179334
link-decrypt,10,50,2,2,5,5,7.934503,5.087669,2.846834,0.7934503,2.3274179999999998,2.326543,3.265583
link-decrypt,10,50,3,2,5,5,7.568458,4.890333,2.678125,0.7568458,2.183999,2.199001,3.1764580000000002
link-decrypt,10,50,4,2,5,5,7.6861239999999995,4.975875,2.710249,0.7686124,2.226416,2.248542,3.205291
link-decrypt,10,50,5,2,5,5,7.607375,4.959042,2.648333,0.7607375000000001,2.18625,2.228459,3.187125
link-decrypt,10,50,6,2,5,5,7.690375,4.897625,2.7927500000000003,0.7690375,2.2444159999999997,2.2405,3.200625
link-decrypt,10,50,7,2,5,5,7.564126,4.923793,2.640333,0.7564126,2.174625,2.1705,3.2144589999999997
link-decrypt,10,50,8,2,5,5,7.519125,4.8795,2.639625,0.7519125,2.1308339999999997,2.185541,3.1982500000000003
link-decrypt,10,50,9,2,5,5,7.561417,4.924958999999999,2.6364579999999997,0.7561416999999999,2.153708,2.167375,3.235667
link-decrypt,10,50,10,2,5,5,7.506793,4.876292,2.6305009999999998,0.7506793,2.1620839999999997,2.183208,3.1569179999999997
link-decrypt,20,10,1,2,2,2,10.877209,9.823126,1.0540829999999999,0.54386045,3.472458,3.517875,3.8799170000000003
link-decrypt,20,10,2,2,2,2,11.309543,10.234667,1.074876,0.56547715,3.6017089999999996,3.733917,3.9606670000000004
link-decrypt,20,10,3,2,2,2,10.962291,9.903458,1.058833,0.54811455,3.4770830000000004,3.519,3.9596249999999995
link-decrypt,20,10,4,2,2,2,11.019083,9.912208,1.106875,0.55095415,3.519,3.542582,3.9509590000000006
link-decrypt,20,10,5,2,2,2,10.796668,9.721418,1.07525,0.5398334,3.448709,3.4632500000000004,3.8781250000000003
link-decrypt,20,10,6,2,2,2,10.873833,9.811,1.062833,0.54369165,3.4638329999999997,3.5,3.898
link-decrypt,20,10,7,2,2,2,10.988790999999999,9.927,1.0617910000000002,0.54943955,3.4774990000000003,3.5573330000000003,3.9480419999999996
link-decrypt,20,10,8,2,2,2,11.382668,10.327918,1.0547499999999999,0.5691334,3.498709,3.690875,4.183959
link-decrypt,20,10,9,2,2,2,11.193042,10.090709,1.102333,0.5596521,3.550333,3.74675,3.8852919999999997
link-decrypt,20,10,10,2,2,2,11.076834,9.991417,1.085417,0.5538417,3.581001,3.557125,3.9322920000000003
link-decrypt,20,50,1,2,10,10,14.976124,9.725083000000001,5.251041,0.7488062,4.337083000000001,4.307333,6.325333
link-decrypt,20,50,2,2,10,10,15.132291,9.825291,5.307,0.75661455,4.3058749999999995,4.406666,6.409375
link-decrypt,20,50,3,2,10,10,15.138831999999999,9.895040000000002,5.243792,0.7569416,4.345333,4.392958,6.393833
link-decrypt,20,50,4,2,10,10,15.145291,9.849583,5.295707999999999,0.75726455,4.308333,4.501207999999999,6.3295829999999995
link-decrypt,20,50,5,2,10,10,15.014707,9.777458,5.237249,0.75073535,4.279666,4.44475,6.283916
link-decrypt,20,50,6,2,10,10,15.075166,9.780249,5.294917,0.7537583,4.2536249999999995,4.454833,6.360333
link-decrypt,20,50,7,2,10,10,15.4185,9.877875,5.540625,0.770925,4.368167,4.5374170000000005,6.50675
link-decrypt,20,50,8,2,10,10,15.248502,9.922459,5.326043,0.7624251,4.3497509999999995,4.441083,6.448334
link-decrypt,20,50,9,2,10,10,15.179208,9.889917,5.2892909999999995,0.7589604,4.427582999999999,4.427624,6.316084
link-decrypt,20,50,10,2,10,10,15.212622999999999,9.922332,5.290291,0.7606311499999999,4.387125,4.408291,6.410874000000001
link-decrypt,50,10,1,5,5,5,28.059041999999998,25.267417000000002,2.791625,0.56118084,8.981001000000001,8.948833,10.114833
link-decrypt,50,10,2,5,5,5,27.814833,25.142291,2.672542,0.55629666,8.904375000000002,8.833708,10.05025
link-decrypt,50,10,3,5,5,5,28.075166,25.424333,2.650833,0.56150332,9.362541,8.661334,10.035291
link-decrypt,50,10,4,5,5,5,27.634709,24.996292,2.638417,0.55269418,9.03375,8.870958,9.718292
link-decrypt,50,10,5,5,5,5,27.187625,24.542291000000002,2.645334,0.5437525,8.631667,8.827,9.714333
link-decrypt,50,10,6,5,5,5,27.222875000000002,24.578792,2.644083,0.5444575,8.649791,8.757917,9.804458
link-decrypt,50,10,7,5,5,5,26.824626000000002,24.166916999999998,2.6577089999999997,0.53649252,8.511459,8.619042,9.67075
link-decrypt,50,10,8,5,5,5,26.996665999999998,24.344666,2.6519999999999997,0.5399333199999999,8.656458,8.622792,9.704666000000001
link-decrypt,50,10,9,5,5,5,26.940667,24.283333,2.657334,0.53881334,8.558542000000001,8.642791,9.727
link-decrypt,50,10,10,5,5,5,27.813959,25.154751,2.659208,0.55627918,8.868542,8.809041,10.119792
link-decrypt,50,50,1,5,25,25,39.055,25.326041,13.728959000000001,0.7811,10.877708,11.469584,16.69025
link-decrypt,50,50,2,5,25,25,38.170082,24.738291,13.431791,0.76340164,11.099998999999999,11.020291,16.030042
link-decrypt,50,50,3,5,25,25,38.258166,24.9665,13.291666000000001,0.7651633200000001,10.977667,11.235791,16.030875
link-decrypt,50,50,4,5,25,25,38.073708999999994,24.655583,13.418126,0.7614741799999999,10.972750999999999,11.041458,16.045666999999998
link-decrypt,50,50,5,5,25,25,37.773876,24.494834,13.279042,0.75547752,10.971042,10.889292,15.901542000000001
link-decrypt,50,50,6,5,25,25,37.575416,24.337541,13.237874999999999,0.7515083199999999,10.945125,10.543334,16.073582
link-decrypt,50,50,7,5,25,25,37.746500000000005,24.490333,13.256167,0.7549300000000001,11.011125,10.735292000000001,15.988124999999998
link-decrypt,50,50,8,5,25,25,37.503665999999996,24.404625,13.099041,0.7500733199999999,10.700499,11.043959000000001,15.747873999999998
link-decrypt,50,50,9,5,25,25,37.994833,24.426541999999998,13.568291,0.75989666,10.9075,10.893208,16.182417
link-decrypt,50,50,10,5,25,25,38.008376000000005,24.886917,13.121459,0.7601675200000001,10.876999999999999,11.144459000000001,15.973208999999999
link-decrypt,100,10,1,10,10,10,55.019999999999996,49.747333,5.272667,0.5501999999999999,17.653709,17.551416,19.775709
link-decrypt,100,10,2,10,10,10,54.658169,49.240001,5.4181680000000005,0.54658169,17.564959,17.887833999999998,19.168167
link-decrypt,100,10,3,10,10,10,54.422540999999995,49.134624,5.287916999999999,0.5442254099999999,17.408292,17.806667,19.180624
link-decrypt,100,10,4,10,10,10,55.000541,49.671833,5.328708,0.55000541,17.767542000000002,18.126,19.084291
link-decrypt,100,10,5,10,10,10,54.51475,49.220333,5.294417,0.5451475,17.899708,17.427792,19.165958
link-decrypt,100,10,6,10,10,10,54.608416,49.252583,5.355833,0.5460841599999999,17.801623999999997,17.098667000000003,19.677958
link-decrypt,100,10,7,10,10,10,54.393251,48.842917,5.550333999999999,0.54393251,17.470208,17.240333,19.662626
link-decrypt,100,10,8,10,10,10,55.357542,50.012709,5.344833,0.55357542,17.881542,18.140375,19.313125
link-decrypt,100,10,9,10,10,10,54.17025,48.90325,5.267,0.5417025,17.377457999999997,17.367667,19.405792
link-decrypt,100,10,10,10,10,10,54.188208,48.917375,5.270833,0.54188208,17.004334,17.416792,19.745624
link-decrypt,100,50,1,10,50,50,76.335291,49.870125,26.465166,0.7633529099999999,22.087749,22.248041999999998,31.971
link-decrypt,100,50,2,10,50,50,74.820751,48.600209,26.220542,0.74820751,21.627334,21.668499,31.494376
link-decrypt,100,50,3,10,50,50,75.418708,49.147875,26.270833,0.7541870799999999,22.305417000000002,21.507083,31.583374999999997
link-decrypt,100,50,4,10,50,50,75.215417,48.953334,26.262082999999997,0.7521541700000001,21.321499,21.630208000000003,32.241376
link-decrypt,100,50,5,10,50,50,76.65537499999999,49.799125,26.856250000000003,0.7665537499999999,21.509166,22.25125,32.873084
link-decrypt,100,50,6,10,50,50,76.94175,49.971833000000004,26.969917,0.7694175,21.910624,22.783917000000002,32.22225
link-decrypt,100,50,7,10,50,50,76.670543,50.333417999999995,26.337125,0.7667054299999999,22.398457999999998,22.142918,32.102667000000004
link-decrypt,100,50,8,10,50,50,75.263417,48.534958,26.728459,0.75263417,21.860542,21.975542,31.400083000000002
link-decrypt,100,50,9,10,50,50,76.03996000000001,49.527251,26.512708999999997,0.7603996000000001,21.864917000000002,22.198083,31.950751
link-decrypt,100,50,10,10,50,50,74.889625,48.517540999999994,26.372084,0.7488962499999999,21.575167,21.919874999999998,31.371917
link-decrypt,500,10,1,50,50,50,274.751917,247.91858299999998,26.833334,0.549503834,87.723084,89.581792,97.339041
link-decrypt,500,10,2,50,50,50,274.67004099999997,247.84858300000002,26.821458,0.549340082,90.278083,87.223,97.07241599999999
link-decrypt,500,10,3,50,50,50,274.28875000000005,247.425625,26.863125,0.5485775,86.64058299999999,90.59379200000001,96.96725
link-decrypt,500,10,4,50,50,50,271.561208,245.443417,26.117791,0.543122416,85.223292,89.158624,97.0915
link-decrypt,500,10,5,50,50,50,273.128666,246.636875,26.491791,0.546257332,88.680916,90.319542,94.038291
link-decrypt,500,10,6,50,50,50,272.253668,245.72475,26.528917999999997,0.544507336,89.50633400000001,87.368375,95.290834
link-decrypt,500,10,7,50,50,50,271.99145899999996,244.909917,27.081542,0.543982918,87.307751,90.501666,94.095417
link-decrypt,500,10,8,50,50,50,275.078041,248.589666,26.488375,0.550156082,89.643584,87.441541,97.904333
link-decrypt,500,10,9,50,50,50,272.392542,245.796167,26.596375,0.544785084,86.98154199999999,86.919708,98.4025
link-decrypt,500,10,10,50,50,50,273.151293,246.714834,26.436459,0.546302586,87.619083,87.129667,98.31358399999999
link-decrypt,500,50,1,50,250,250,378.182208,245.983708,132.1985,0.756364416,109.3415,108.72262500000001,159.994833
link-decrypt,500,50,2,50,250,250,382.788708,249.824208,132.96450000000002,0.765577416,111.51308399999999,109.243291,161.929291
link-decrypt,500,50,3,50,250,250,378.340624,246.32341599999998,132.017208,0.756681248,108.583458,108.950458,160.70775
link-decrypt,500,50,4,50,250,250,376.108541,242.843666,133.26487500000002,0.752217082,108.5275,108.702208,158.782875
link-decrypt,500,50,5,50,250,250,381.131583,247.086791,134.044792,0.762263166,107.789583,110.441124,162.802209
link-decrypt,500,50,6,50,250,250,378.99158300000005,245.788417,133.203166,0.757983166,109.125917,110.681708,159.066541
link-decrypt,500,50,7,50,250,250,376.907876,244.873875,132.03400100000002,0.753815752,107.83725,108.31945900000001,160.653417
link-decrypt,500,50,8,50,250,250,383.563834,250.15966699999998,133.404167,0.767127668,110.708375,110.16,162.594042
link-decrypt,500,50,9,50,250,250,379.30912500000005,246.94225,132.366875,0.75861825,108.98816699999999,111.227124,158.983834
link-decrypt,500,50,10,50,250,250,378.783502,246.666501,132.11700100000002,0.757567004,108.1825,109.953126,160.553209
link-decrypt,1000,10,1,100,100,100,549.366749,497.189791,52.176958,0.549366749,176.894666,176.479209,195.81216600000002
link-decrypt,1000,10,2,100,100,100,543.052957,490.563916,52.489041,0.543052957,174.19316600000002,173.140416,195.55100000000002
link-decrypt,1000,10,3,100,100,100,547.583416,494.20491599999997,53.3785,0.547583416,175.635833,177.50708300000002,194.272
link-decrypt,1000,10,4,100,100,100,547.717002,494.613501,53.103500999999994,0.547717002,175.929584,173.489792,198.128501
link-decrypt,1000,10,5,100,100,100,551.2346660000001,497.515667,53.718999000000004,0.551234666,179.65954100000002,174.595125,196.791708
link-decrypt,1000,10,6,100,100,100,548.775667,495.66975,53.105917000000005,0.548775667,174.56050000000002,179.622584,194.42441699999998
link-decrypt,1000,10,7,100,100,100,553.959208,499.32291499999997,54.636293,0.553959208,178.535542,177.171292,198.046208
link-decrypt,1000,10,8,100,100,100,546.614167,493.30670799999996,53.307459,0.546614167,172.730459,175.62187500000002,198.092125
link-decrypt,1000,10,9,100,100,100,549.044584,495.857626,53.186958,0.549044584,173.17308300000002,178.169709,197.5205
link-decrypt,1000,10,10,100,100,100,539.616249,486.632375,52.983874,0.539616249,173.690874,172.980667,192.768291
link-decrypt,1000,50,1,100,500,500,755.338834,489.483293,265.85554099999996,0.755338834,217.588251,219.555916,318.004458
link-decrypt,1000,50,2,100,500,500,760.073085,494.899251,265.173834,0.760073085,216.501292,221.08487499999998,322.29895899999997
link-decrypt,1000,50,3,100,500,500,759.953877,491.930627,268.02325,0.759953877,218.451459,220.836334,320.470625
link-decrypt,1000,50,4,100,500,500,757.079917,492.963917,264.11600000000004,0.757079917,222.306958,217.048542,317.536959
link-decrypt,1000,50,5,100,500,500,757.887873,492.70879099999996,265.179082,0.757887873,217.176707,224.4205,316.10466599999995
link-decrypt,1000,50,6,100,500,500,759.5080829999999,492.448083,267.06,0.759508083,214.95475,219.10945800000002,325.26075
link-decrypt,1000,50,7,100,500,500,761.291084,493.202834,268.08824999999996,0.761291084,220.73612500000002,223.143959,317.192625
link-decrypt,1000,50,8,100,500,500,761.194208,494.003083,267.191125,0.761194208,220.256708,217.963417,322.77325
link-decrypt,1000,50,9,100,500,500,757.9399999999999,492.787167,265.152833,0.75794,217.36320800000001,219.09575,321.291167
link-decrypt,1000,50,10,100,500,500,755.781083,492.156874,263.624209,0.755781083,215.845584,221.75958300000002,317.982875
link-decrypt,2000,10,1,200,200,200,1097.370957,991.589916,105.781041,0.5486854785,355.818833,348.70854099999997,392.509083
link-decrypt,2000,10,2,200,200,200,1088.070999,982.227666,105.843333,0.5440354995,340.775833,360.157375,386.730958
link-decrypt,2000,10,3,200,200,200,1086.37271,979.194043,107.178667,0.543186355,345.159292,351.674209,389.196209
link-decrypt,2000,10,4,200,200,200,1085.487333,979.3802489999999,106.107084,0.5427436665,350.34754200000003,348.241333,386.558083
link-decrypt,2000,10,5,200,200,200,1098.746542,992.7977089999999,105.94883300000001,0.549373271,353.759125,351.600459,393.02375
link-decrypt,2000,10,6,200,200,200,1086.850711,980.242544,106.60816700000001,0.5434253555,345.210126,350.22216699999996,391.077334
link-decrypt,2000,10,7,200,200,200,1108.25625,1002.7156669999999,105.540583,0.554128125,355.60475,351.55425,400.71125
link-decrypt,2000,10,8,200,200,200,1095.972751,988.324584,107.648167,0.5479863755,344.010709,356.719708,394.90825
link-decrypt,2000,10,9,200,200,200,1102.163584,995.8205,106.343084,0.551081792,355.31100100000003,349.242875,397.27583300000003
link-decrypt,2000,10,10,200,200,200,1085.597835,979.889335,105.7085,0.5427989175,348.228792,350.195042,386.798334
link-decrypt,2000,50,1,200,1000,1000,1507.890709,976.321584,531.569125,0.7539453545,429.849458,443.99004199999996,633.6547919999999
link-decrypt,2000,50,2,200,1000,1000,1524.319835,989.9764170000001,534.3434179999999,0.7621599175,443.877417,442.863584,637.212167
link-decrypt,2000,50,3,200,1000,1000,1531.408834,1004.850167,526.558667,0.765704417,443.610417,443.76995800000003,643.657
link-decrypt,2000,50,4,200,1000,1000,1514.184918,983.8467509999999,530.338167,0.757092459,434.28733400000004,436.34945899999997,643.187875
link-decrypt,2000,50,5,200,1000,1000,1527.2684170000002,992.553125,534.715292,0.7636342085000001,432.47112500000003,450.85495799999995,643.579417
link-decrypt,2000,50,6,200,1000,1000,1519.2744579999999,988.004043,531.2704150000001,0.759637229,435.301291,441.802167,641.793541
link-decrypt,2000,50,7,200,1000,1000,1515.8370830000001,988.872333,526.96475,0.7579185415,437.40016599999996,448.82125,629.208167
link-decrypt,2000,50,8,200,1000,1000,1517.4711670000002,983.543542,533.927625,0.7587355835,432.011875,439.70654199999996,645.306084
link-decrypt,2000,50,9,200,1000,1000,1536.4213730000001,1007.209499,529.2118740000001,0.7682106865,444.269582,451.94741700000003,639.828749
link-decrypt,2000,50,10,200,1000,1000,1524.155374,996.372833,527.782541,0.762077687,436.82291699999996,439.741374,647.219833
link-decrypt,4000,10,1,400,400,400,2195.050836,1980.2512100000001,214.799626,0.548762709,685.9735430000001,723.860459,784.541417
link-decrypt,4000,10,2,400,400,400,2179.181623,1966.2838740000002,212.897749,0.54479540575,691.5773750000001,713.655041,773.258916
link-decrypt,4000,10,3,400,400,400,2178.838374,1967.1550820000002,211.683292,0.5447095935,695.1052920000001,714.389208,768.670374
link-decrypt,4000,10,4,400,400,400,2205.248251,1991.437751,213.8105,0.55131206275,713.887584,700.571959,790.1169580000001
link-decrypt,4000,10,5,400,400,400,2211.0173729999997,1999.5364570000002,211.48091599999998,0.55275434325,707.603791,709.190541,793.557166
link-decrypt,4000,10,6,400,400,400,2182.9400419999997,1970.268251,212.67179099999998,0.5457350105,692.898917,697.8140000000001,791.544208
link-decrypt,4000,10,7,400,400,400,2196.412291,1981.201333,215.210958,0.54910307275,697.006542,707.068916,791.6765
link-decrypt,4000,10,8,400,400,400,2204.525083,1994.352458,210.172625,0.55113127075,691.067458,714.91125,797.827125
link-decrypt,4000,10,9,400,400,400,2218.8608740000004,2006.203332,212.657542,0.5547152185,706.4275,705.399958,806.3465829999999
link-decrypt,4000,10,10,400,400,400,2180.476416,1969.869708,210.606708,0.545119104,700.636708,695.6222909999999,783.5055
link-decrypt,4000,50,1,400,2000,2000,3117.990208,2057.422417,1060.567791,0.779497552,882.769125,935.8945829999999,1298.571375
link-decrypt,4000,50,2,400,2000,2000,3022.502042,1951.1507510000001,1071.351291,0.7556255105,868.0560830000001,877.124625,1276.488917
link-decrypt,4000,50,3,400,2000,2000,3063.311585,2003.618292,1059.693293,0.76582789625,879.7658339999999,906.110792,1276.572334
link-decrypt,4000,50,4,400,2000,2000,3024.2361650000003,1962.7545830000001,1061.4815820000001,0.7560590412500001,888.3429160000001,862.269958,1272.895666
link-decrypt,4000,50,5,400,2000,2000,3049.3377920000003,1985.2105410000001,1064.127251,0.762334448,872.117292,881.459001,1295.036291
link-decrypt,4000,50,6,400,2000,2000,3067.558209,2004.9439169999998,1062.614292,0.76688955225,879.2632500000001,903.8998750000001,1283.588209
link-decrypt,4000,50,7,400,2000,2000,3070.303625,2010.8632499999999,1059.4403750000001,0.76757590625,888.483417,872.689583,1308.3662080000001
link-decrypt,4000,50,8,400,2000,2000,3035.284124,1979.172041,1056.112083,0.758821031,874.859125,886.991708,1272.6900409999998
link-decrypt,4000,50,9,400,2000,2000,3060.090084,1994.750376,1065.339708,0.765022521,874.447667,899.6336660000001,1285.240792
link-decrypt,4000,50,10,400,2000,2000,3079.176792,2006.42625,1072.750542,0.769794198,891.676334,890.89975,1295.6952079999999
link-decrypt,8000,10,1,800,800,800,4390.226000000001,3963.5607090000003,426.665291,0.54877825,1436.597876,1391.734666,1560.5785829999998
link-decrypt,8000,10,2,800,800,800,4380.364333,3949.256999,431.10733400000004,0.547545541625,1396.7183750000002,1411.732667,1570.513958
link-decrypt,8000,10,3,800,800,800,4528.939125,3974.07125,554.867875,0.566117390625,1512.485958,1404.311,1610.48225
link-decrypt,8000,10,4,800,800,800,4713.285081,4289.122999,424.162082,0.589160635125,1416.784833,1425.282707,1869.8829159999998
link-decrypt,8000,10,5,800,800,800,4387.132791,3961.7060410000004,425.42675,0.548391598875,1428.7840840000001,1406.473083,1550.566749
link-decrypt,8000,10,6,800,800,800,4373.278497,3950.00704,423.271457,0.546659812125,1416.021999,1410.988624,1544.934249
link-decrypt,8000,10,7,800,800,800,4447.952959,4014.039668,433.91329099999996,0.555994119875,1433.9084579999999,1431.929333,1580.565584
link-decrypt,8000,10,8,800,800,800,4538.01325,4091.8990009999998,446.11424900000003,0.56725165625,1464.143125,1451.179958,1621.1817079999998
link-decrypt,8000,10,9,800,800,800,4337.41704,3914.696249,422.72079099999996,0.54217713,1416.301291,1370.1309159999998,1549.6605
link-decrypt,8000,10,10,800,800,800,4307.787377000001,3886.523377,421.264,0.538473422125,1366.352709,1409.923667,1530.014584
link-decrypt,8000,50,1,800,4000,4000,6035.545207,3925.374916,2110.1702910000004,0.754443150875,1729.204792,1726.1110410000001,2578.733749
link-decrypt,8000,50,2,800,4000,4000,6186.413916,4060.701333,2125.712583,0.7733017395,1748.030583,1800.208375,2636.697458
link-decrypt,8000,50,3,800,4000,4000,6086.370251,3960.437375,2125.932876,0.760796281375,1760.432209,1774.273709,2550.065083
link-decrypt,8000,50,4,800,4000,4000,6124.141417,3997.162542,2126.978875,0.765517677125,1761.026875,1808.468083,2553.1138339999998
link-decrypt,8000,50,5,800,4000,4000,6040.01225,3918.705417,2121.306833,0.75500153125,1720.559,1755.3947079999998,2562.6052499999996
