benchmark,set_size,recurring_pct,runs,pid_threshold,n_after_filter_mean,t_total_mean_ms,t_total_std_ms,t_link_mean_ms,t_decrypt_mean_ms,t_per_input_cft_mean_ms
link-decrypt,10,10,10,2,2,5.986,0.055,4.924,1.063,0.5986
link-decrypt,10,50,10,2,5,7.622,0.119,4.937,2.685,0.7622
link-decrypt,20,10,10,2,2,11.048,0.183,9.974,1.074,0.5524
link-decrypt,20,50,10,2,10,15.154,0.119,9.847,5.308,0.7577
link-decrypt,50,10,10,5,5,27.457,0.451,24.790,2.667,0.5491
link-decrypt,50,50,10,5,25,38.016,0.419,24.673,13.343,0.7603
link-decrypt,100,10,10,10,10,54.633,0.366,49.294,5.339,0.5463
link-decrypt,100,50,10,10,50,75.825,0.755,49.326,26.500,0.7583
link-decrypt,500,10,10,50,50,273.327,1.217,246.701,26.626,0.5467
link-decrypt,500,50,10,50,250,379.411,2.281,246.649,132.762,0.7588
link-decrypt,1000,10,10,100,100,547.696,3.815,494.488,53.209,0.5477
link-decrypt,1000,50,10,100,500,758.605,2.016,492.658,265.946,0.7586
link-decrypt,2000,10,10,200,200,1093.489,7.698,987.218,106.271,0.5467
link-decrypt,2000,50,10,200,1000,1521.823,8.124,991.155,530.668,0.7609
link-decrypt,4000,10,10,400,400,2195.255,13.751,1982.656,212.599,0.5488
link-decrypt,4000,50,10,400,2000,3058.979,27.026,1995.631,1063.348,0.7647
link-decrypt,8000,10,10,800,800,4440.440,115.562,3999.488,440.951,0.5551
link-decrypt,8000,50,10,800,4000,6097.003,61.737,3972.485,2124.518,0.7621
